"date","home.team","home.score","away.team","away.score"
"2019-08-16","Ath Bilbao",1,"Barcelona",0
"2019-08-17","Celta",1,"Real Madrid",3
"2019-08-17","Valencia",1,"Sociedad",1
"2019-08-17","Mallorca",2,"Eibar",1
"2019-08-17","Leganes",0,"Osasuna",1
"2019-08-17","Villarreal",4,"Granada",4
"2019-08-18","Alaves",1,"Levante",0
"2019-08-18","Espanol",0,"Sevilla",2
"2019-08-18","Betis",1,"Valladolid",2
"2019-08-18","Ath Madrid",1,"Getafe",0
"2019-08-23","Granada",0,"Sevilla",1
"2019-08-23","Levante",2,"Villarreal",1
"2019-08-24","Osasuna",0,"Eibar",0
"2019-08-24","Real Madrid",1,"Valladolid",1
"2019-08-24","Celta",1,"Valencia",0
"2019-08-24","Getafe",1,"Ath Bilbao",1
"2019-08-25","Alaves",0,"Espanol",0
"2019-08-25","Mallorca",0,"Sociedad",1
"2019-08-25","Leganes",0,"Ath Madrid",1
"2019-08-25","Barcelona",5,"Betis",2
"2019-08-30","Sevilla",1,"Celta",1
"2019-08-30","Ath Bilbao",2,"Sociedad",0
"2019-08-31","Osasuna",2,"Barcelona",2
"2019-08-31","Getafe",1,"Alaves",1
"2019-08-31","Levante",2,"Valladolid",0
"2019-08-31","Betis",2,"Leganes",1
"2019-09-01","Valencia",2,"Mallorca",0
"2019-09-01","Ath Madrid",3,"Eibar",2
"2019-09-01","Espanol",0,"Granada",3
"2019-09-01","Villarreal",2,"Real Madrid",2
"2019-09-13","Mallorca",0,"Ath Bilbao",0
"2019-09-14","Real Madrid",3,"Levante",2
"2019-09-14","Leganes",0,"Villarreal",3
"2019-09-14","Sociedad",2,"Ath Madrid",0
"2019-09-14","Barcelona",5,"Valencia",2
"2019-09-15","Eibar",1,"Espanol",2
"2019-09-15","Alaves",0,"Sevilla",1
"2019-09-15","Celta",0,"Granada",2
"2019-09-15","Valladolid",1,"Osasuna",1
"2019-09-15","Betis",1,"Getafe",1
"2019-09-20","Osasuna",0,"Betis",0
"2019-09-21","Villarreal",2,"Valladolid",0
"2019-09-21","Levante",0,"Eibar",0
